MPG,Acceleration,Cylinders,Displacement,Horsepower,Manufacturer,Year,Origin,Weight
13,13,8,360,170,plymouth,73,USA,4654
12,12.5,8,350,180,oldsmobile,73,USA,4499
18,15,6,232,100,amc,73,USA,2789
20,19,4,97,88,toyota,73,Japan,2279
21,19.5,4,140,72,chevrolet,73,USA,2401
22,16.5,4,108,94,datsun,73,Japan,2379
18,13.5,3,70,90,mazda,73,Japan,2124
19,18.5,4,122,85,ford,73,USA,2310
21,14,6,155,107,mercury,73,USA,2472
26,15.5,4,98,90,fiat,73,Italy,2265
15,13,8,350,145,chevrolet,73,USA,4082
16,9.5,8,400,230,pontiac,73,USA,4278
29,19.5,4,68,49,fiat,73,Italy,1867
24,15.5,4,116,75,opel,73,Germany,2158
20,14,4,114,91,audi,73,Germany,2582
19,15.5,4,121,112,volvo,73,Sweden,2868
15,11,8,318,150,dodge,73,USA,3399
24,14,4,121,110,saab,73,Sweden,2660
20,13.5,6,156,122,toyota,73,Japan,2807
11,11,8,350,180,oldsmobile,73,USA,3664
20,16.5,6,198,95,plymouth,74,USA,3102
21,17,6,200,,ford,74,USA,2875
19,16,6,232,100,amc,74,USA,2901
15,17,6,250,100,chevrolet,74,USA,3336
31,19,4,79,67,datsun,74,Japan,1950
26,16.5,4,122,80,ford,74,USA,2451
32,21,4,71,65,toyota,74,Japan,1836
25,17,4,140,75,chevrolet,74,USA,2542
16,17,6,250,100,chevrolet,74,USA,3781
16,18,6,258,110,amc,74,USA,3632
18,16.5,6,225,105,plymouth,74,USA,3613
16,14,8,302,140,ford,74,USA,4141
13,14.5,8,350,150,buick,74,USA,4699
14,13.5,8,318,150,dodge,74,USA,4457
14,16,8,302,140,ford,74,USA,4638
14,15.5,8,304,150,amc,74,USA,4257
29,16.5,4,98,83,audi,74,Germany,2219
26,15.5,4,79,67,volkswagen,74,Germany,1963
26,14.5,4,97,78,opel,74,Germany,2300
31,16.5,4,76,52,toyota,74,Japan,1649
32,19,4,83,61,datsun,74,Japan,2003
28,14.5,4,90,75,dodge,74,USA,2125
24,15.5,4,90,75,fiat,74,Italy,2108
26,14,4,116,75,fiat,74,Italy,2246
24,15,4,120,97,honda,74,Japan,2489
26,15.5,4,108,93,subaru,74,Japan,2391
31,16,4,79,67,fiat,74,Italy,2000
19,16,6,225,95,plymouth,75,USA,3264
18,16,6,250,105,chevrolet,75,USA,3459
15,21,6,250,72,mercury,75,USA,3432
15,19.5,6,250,72,ford,75,USA,3158
16,11.5,8,400,170,pontiac,75,USA,4668
15,14,8,350,145,chevrolet,75,USA,4440
16,14.5,8,318,150,plymouth,75,USA,4498
14,13.5,8,351,148,ford,75,USA,4657
17,21,6,231,110,buick,75,USA,3907
16,18.5,6,250,105,chevrolet,75,USA,3897
15,19,6,258,110,amc,75,USA,3730
18,19,6,225,95,plymouth,75,USA,3785
21,15,6,231,110,buick,75,USA,3039
20,13.5,8,262,110,chevrolet,75,USA,3221
13,12,8,302,129,ford,75,USA,3169
29,16,4,97,75,toyota,75,Japan,2171
23,17,4,140,83,ford,75,USA,2639
20,16,6,232,100,amc,75,USA,2914
23,18.5,4,140,78,pontiac,75,USA,2592
24,13.5,4,134,96,toyota,75,Japan,2702
25,16.5,4,90,71,volkswagen,75,Germany,2223
24,17,4,119,97,datsun,75,Japan,2545
18,14.5,6,171,97,ford,75,USA,2984
29,14,4,90,70,volkswagen,75,Germany,1937
19,17,6,232,90,amc,75,USA,3211
23,15,4,115,95,audi,75,Germany,2694
23,17,4,120,88,peugeot,75,France,2957
22,14.5,4,121,98,volvo,75,Sweden,2945
25,13.5,4,121,115,saab,75,Sweden,2671
33,17.5,4,91,53,honda,75,Japan,1795
28,15.5,4,107,86,fiat,76,Italy,2464
25,16.9,4,116,81,opel,76,Germany,2220
25,14.9,4,140,92,ford,76,USA,2572
26,17.7,4,98,79,dodge,76,USA,2255
27,15.3,4,101,83,renault,76,France,2202
17.5,13,8,305,140,chevrolet,76,USA,4215
16,13,8,318,150,dodge,76,USA,4190
15.5,13.9,8,304,120,amc,76,USA,3962
14.5,12.8,8,351,152,ford,76,USA,4215
22,15.4,6,225,100,plymouth,76,USA,3233
22,14.5,6,250,105,chevrolet,76,USA,3353
24,17.6,6,200,81,ford,76,USA,3012
22.5,17.6,6,232,90,amc,76,USA,3085
29,22.2,4,85,52,chevrolet,76,USA,2035
24.5,22.1,4,98,60,chevrolet,76,USA,2164
29,14.2,4,90,70,volkswagen,76,Germany,1937
33,17.4,4,91,53,honda,76,Japan,1795
20,17.7,6,225,100,dodge,76,USA,3651
18,21,6,250,78,ford,76,USA,3574
18.5,16.2,6,250,110,pontiac,76,USA,3645
17.5,17.8,6,258,95,amc,76,USA,3193
29.5,12.2,4,97,71,volkswagen,76,Germany,1825
32,17,4,85,70,datsun,76,Japan,1990
28,16.4,4,97,75,toyota,76,Japan,2155
26.5,13.6,4,140,72,ford,76,USA,2565
20,15.7,4,130,102,volvo,76,Sweden,3150
13,13.2,8,318,150,plymouth,76,USA,3940
19,21.9,4,120,88,peugeot,76,France,3270
19,15.5,6,156,108,toyota,76,Japan,2930
16.5,16.7,6,168,120,mercedes-benz,76,Germany,3820
16.5,12.1,8,350,180,cadillac,76,USA,4380
13,12,8,350,145,chevrolet,76,USA,4055
13,15,8,302,130,ford,76,USA,3870
13,14,8,318,150,dodge,76,USA,3755
31.5,18.5,4,98,68,honda,77,Japan,2045
30,14.8,4,111,80,buick,77,USA,2155
36,18.6,4,79,58,renault,77,France,1825
25.5,15.5,4,122,96,plymouth,77,USA,2300
33.5,16.8,4,85,70,datsun,77,Japan,1945
17.5,12.5,8,305,145,chevrolet,77,USA,3880
17,19,8,260,110,oldsmobile,77,USA,4060
15.5,13.7,8,318,145,dodge,77,USA,4140
15,14.9,8,302,130,mercury,77,USA,4295
17.5,16.4,6,250,110,chevrolet,77,USA,3520
20.5,16.9,6,231,105,buick,77,USA,3425
19,17.7,6,225,100,plymouth,77,USA,3630
18.5,19,6,250,98,ford,77,USA,3525
16,11.1,8,400,180,pontiac,77,USA,4220
15.5,11.4,8,350,170,chevrolet,77,USA,4165
15.5,12.2,8,400,190,chrysler,77,USA,4325
16,14.5,8,351,149,ford,77,USA,4335
29,14.5,4,97,78,volkswagen,77,Germany,1940
24.5,16,4,151,88,pontiac,77,USA,2740
26,18.2,4,97,75,toyota,77,Japan,2265
25.5,15.8,4,140,89,ford,77,USA,2755
30.5,17,4,98,63,chevrolet,77,USA,2051
33.5,15.9,4,98,83,dodge,77,USA,2075
30,16.4,4,97,67,subaru,77,Japan,1985
30.5,14.1,4,97,78,volkswagen,77,Germany,2190
22,14.5,6,146,97,datsun,77,Japan,2815
21.5,12.8,4,121,110,bmw,77,Germany,2600
21.5,13.5,3,80,110,mazda,77,Japan,2720
43.1,21.5,4,90,48,volkswagen,78,Germany,1985
36.1,14.4,4,98,66,ford,78,USA,1800
32.8,19.4,4,78,52,mazda,78,Japan,1985
39.4,18.6,4,85,70,datsun,78,Japan,2070
36.1,16.4,4,91,60,honda,78,Japan,1800
19.9,15.5,8,260,110,oldsmobile,78,USA,3365
19.4,13.2,8,318,140,dodge,78,USA,3735
20.2,12.8,8,302,139,mercury,78,USA,3570
19.2,19.2,6,231,105,pontiac,78,USA,3535
20.5,18.2,6,200,95,chevrolet,78,USA,3155
20.2,15.8,6,200,85,ford,78,USA,2965
25.1,15.4,4,140,88,ford,78,USA,2720
20.5,17.2,6,225,100,plymouth,78,USA,3430
19.4,17.2,6,232,90,amc,78,USA,3210
20.6,15.8,6,231,105,buick,78,USA,3380
20.8,16.7,6,200,85,mercury,78,USA,3070
18.6,18.7,6,225,110,dodge,78,USA,3620
18.1,15.1,6,258,120,amc,78,USA,3410
19.2,13.2,8,305,145,chevrolet,78,USA,3425
17.7,13.4,6,231,165,buick,78,USA,3445
18.1,11.2,8,302,139,ford,78,USA,3205
17.5,13.7,8,318,140,dodge,78,USA,4080
30,16.5,4,98,68,chevrolet,78,USA,2155
27.5,14.2,4,134,95,toyota,78,Japan,2560
27.2,14.7,4,119,97,datsun,78,Japan,2300
30.9,14.5,4,105,75,dodge,78,USA,2230
21.1,14.8,4,134,95,toyota,78,Japan,2515
23.2,16.7,4,156,105,plymouth,78,USA,2745
23.8,17.6,4,151,85,oldsmobile,78,USA,2855
23.9,14.9,4,119,97,datsun,78,Japan,2405
20.3,15.9,5,131,103,audi,78,Germany,2830
17,13.6,6,163,125,volvo,78,Sweden,3140
21.6,15.7,4,121,115,saab,78,Sweden,2795
16.2,15.8,6,163,133,peugeot,78,France,3410
31.5,14.9,4,89,71,volkswagen,78,Germany,1990
29.5,16.6,4,98,68,honda,78,Japan,2135
21.5,15.4,6,231,115,pontiac,79,USA,3245
19.8,18.2,6,200,85,mercury,79,USA,2990
22.3,17.3,4,140,88,ford,79,USA,2890
20.2,18.2,6,232,90,amc,79,USA,3265
20.6,16.6,6,225,110,dodge,79,USA,3360
17,15.4,8,305,130,chevrolet,79,USA,3840
17.6,13.4,8,302,129,ford,79,USA,3725
16.5,13.2,8,351,138,mercury,79,USA,3955
18.2,15.2,8,318,135,dodge,79,USA,3830
16.9,14.9,8,350,155,buick,79,USA,4360
15.5,14.3,8,351,142,ford,79,USA,4054
19.2,15,8,267,125,chevrolet,79,USA,3605
18.5,13,8,360,150,chrysler,79,USA,3940
31.9,14,4,89,71,volkswagen,79,Germany,1925
34.1,15.2,4,86,65,mazda,79,Japan,1975
35.7,14.4,4,98,80,dodge,79,USA,1915
27.4,15,4,121,80,amc,79,USA,2670
25.4,20.1,5,183,77,mercedes-benz,79,Germany,3530
23,17.4,8,350,125,cadillac,79,USA,3900
27.2,24.8,4,141,71,peugeot,79,France,3190
23.9,22.2,8,260,90,oldsmobile,79,USA,3420
34.2,13.2,4,105,70,plymouth,79,USA,2200
34.5,14.9,4,105,70,plymouth,79,USA,2150
31.8,19.2,4,85,65,datsun,79,Japan,2020
37.3,14.7,4,91,69,fiat,79,Italy,2130
28.4,16,4,151,90,buick,79,USA,2670
28.8,11.3,6,173,115,chevrolet,79,USA,2595
26.8,12.9,6,173,115,oldsmobile,79,USA,2700
33.5,13.2,4,151,90,pontiac,79,USA,2556
41.5,14.7,4,98,76,volkswagen,80,Germany,2144
38.1,18.8,4,89,60,toyota,80,Japan,1968
32.1,15.5,4,98,70,chevrolet,80,USA,2120
37.2,16.4,4,86,65,datsun,80,Japan,2019
28,16.5,4,151,90,chevrolet,80,USA,2678
26.4,18.1,4,140,88,ford,80,USA,2870
24.3,20.1,4,151,90,amc,80,USA,3003
19.1,18.7,6,225,90,dodge,80,USA,3381
34.3,15.8,4,97,78,audi,80,Germany,2188
29.8,15.5,4,134,90,toyota,80,Japan,2711
31.3,17.5,4,120,75,mazda,80,Japan,2542
37,15,4,119,92,datsun,80,Japan,2434
32.2,15.2,4,108,75,toyota,80,Japan,2265
46.6,17.9,4,86,65,mazda,80,Japan,2110
27.9,14.4,4,156,105,dodge,80,USA,2800
40.8,19.2,4,85,65,datsun,80,Japan,2110
44.3,21.7,4,90,48,volkswagen,80,Germany,2085
43.4,23.7,4,90,48,volkswagen,80,Germany,2335
36.4,19.9,5,121,67,audi,80,Germany,2950
30,21.8,4,146,67,mercedes-benz,80,Germany,3250
44.6,13.8,4,91,67,honda,80,Japan,1850
40.9,17.3,4,85,,renault,80,France,1835
33.8,18,4,97,67,subaru,80,Japan,2145
29.8,15.3,4,89,62,volkswagen,80,Germany,1845
32.7,11.4,6,168,132,datsun,80,Japan,2910
23.7,12.5,3,70,100,mazda,80,Japan,2420
35,15.1,4,122,88,triumph,80,England,2500
23.6,14.3,4,140,,ford,80,USA,2905
32.4,17,4,107,72,honda,80,Japan,2290
27.2,15.7,4,135,84,plymouth,81,USA,2490
26.6,16.4,4,151,84,buick,81,USA,2635
25.8,14.4,4,156,92,dodge,81,USA,2620
23.5,12.6,6,173,110,chevrolet,81,USA,2725
30,12.9,4,135,84,plymouth,81,USA,2385
39.1,16.9,4,79,58,toyota,81,Japan,1755
39,16.4,4,86,64,plymouth,81,USA,1875
35.1,16.1,4,81,60,honda,81,Japan,1760
32.3,17.8,4,97,67,subaru,81,Japan,2065
37,19.4,4,85,65,datsun,81,Japan,1975
37.7,17.3,4,89,62,toyota,81,Japan,2050
34.1,16,4,91,68,mazda,81,Japan,1985
34.7,14.9,4,105,63,plymouth,81,USA,2215
34.4,16.2,4,98,65,ford,81,USA,2045
29.9,20.7,4,98,65,ford,81,USA,2380
33,14.2,4,105,74,volkswagen,81,Germany,2190
34.5,15.8,4,100,,renault,81,France,2320
33.7,14.4,4,107,75,honda,81,Japan,2210
32.4,16.8,4,108,75,toyota,81,Japan,2350
32.9,14.8,4,119,100,datsun,81,Japan,2615
31.6,18.3,4,120,74,mazda,81,Japan,2635
28.1,20.4,4,141,80,peugeot,81,France,3230
,15.4,4,121,110,saab,81,Sweden,2800
30.7,19.6,6,145,76,volvo,81,Sweden,3160
25.4,12.6,6,168,116,toyota,81,Japan,2900
24.2,13.8,6,146,120,datsun,81,Japan,2930
22.4,15.8,6,231,110,buick,81,USA,3415
26.6,19,8,350,105,oldsmobile,81,USA,3725
20.2,17.1,6,200,88,ford,81,USA,3060
17.6,16.6,6,225,85,chrysler,81,USA,3465
28,19.6,4,112,88,chevrolet,82,USA,2605
27,18.6,4,112,88,chevrolet,82,USA,2640
34,18,4,112,88,chevrolet,82,USA,2395
31,16.2,4,112,85,pontiac,82,USA,2575
29,16,4,135,84,dodge,82,USA,2525
27,18,4,151,90,pontiac,82,USA,2735
24,16.4,4,140,92,ford,82,USA,2865
23,20.5,4,151,,amc,82,USA,3035
36,15.3,4,105,74,volkswagen,82,Germany,1980
37,18.2,4,91,68,mazda,82,Japan,2025
31,17.6,4,91,68,mazda,82,Japan,1970
38,14.7,4,105,63,plymouth,82,USA,2125
36,17.3,4,98,70,mercury,82,USA,2125
36,14.5,4,120,88,nissan,82,Japan,2160
36,14.5,4,107,75,honda,82,Japan,2205
34,16.9,4,108,70,toyota,82,Japan,2245
38,15,4,91,67,honda,82,Japan,1965
32,15.7,4,91,67,honda,82,Japan,1965
38,16.2,4,91,67,datsun,82,Japan,1995
25,16.4,6,181,110,buick,82,USA,2945
38,17,6,262,85,oldsmobile,82,USA,3015
26,14.5,4,156,92,chrysler,82,USA,2585
22,14.7,6,232,112,ford,82,USA,2835
32,13.9,4,144,96,toyota,82,Japan,2665
36,13,4,135,84,dodge,82,USA,2370
27,17.3,4,151,90,chevrolet,82,USA,2950
27,15.6,4,140,86,ford,82,USA,2790
44,24.6,4,97,52,volkswagen,82,Germany,2130
32,11.6,4,135,84,dodge,82,USA,2295
28,18.6,4,120,79,ford,82,USA,2625
31,19.4,4,119,82,chevrolet,82,USA,2720
